soil_moisture,temperature,humidity,label
35.95,17.79,77.03,0
19.74,30.18,61.13,1
29.32,27.37,68.87,1
17.33,33.73,70.46,1
19.37,33.86,55.73,1
44.91,24.87,83.06,0
36.28,21.8,47.91,0
27.1,22.26,80.34,0
40.54,19.24,76.5,0
10.25,16.18,41.57,1
13.39,23.47,76.45,1
40.61,31.16,44.9,0
42.43,20.7,76.53,0
12.8,26.9,51.76,1
23.85,21,77.59,0
15.52,29.07,89.36,1
31.17,19.07,53.2,0
13.92,28.82,41.8,1
40.94,27.41,86.49,0
16.99,21.99,83.57,1
16.25,20.31,61.73,1
12.45,21.6,82.4,1
20.53,15.01,61.49,0
21.73,30.02,51.23,1
18.54,15.11,78.5,1
30.84,32.83,75.96,1
12.71,20.43,67.01,1
43.11,32.61,63.85,0
35.35,33.39,66.71,1
18.83,15.39,90,0
36.84,27.14,45.73,0
39.76,17.42,79.13,0
16.16,28.01,85.98,1
33.39,24.89,64.38,0
36.54,27.92,79.65,0
18.8,18.85,66.79,1
16.28,25.68,88.71,1
13.99,24.83,74.32,1
20.69,27.19,87.38,1
20.08,32.19,51.67,1
26.4,23.05,67,0
36.71,25.38,53.91,0
38.47,24.1,56.16,0
17.12,33.55,74.91,1
42.64,29.11,64.12,0
19.35,29.52,69,1
18.17,15.87,75.26,1
41.87,17.88,88.5,0
31.61,28.69,51.37,0
18.55,28.64,48.75,1
15.53,21.91,71.95,1
19.61,28.72,42.45,1
20.81,26.59,44.51,1
38.15,16.51,51.28,0
33.62,27.39,56.4,0
41.05,24.07,77.16,0
25.56,22.25,58.37,0
18.52,26.29,78.26,1
33.14,15.3,51.9,0
17.75,29.54,72.95,1
31.85,29.24,69.87,0
35.54,21.25,87.68,0
22.38,30.01,76.05,1
17.92,26.22,71.09,1
33.01,29.82,44.59,0
11.74,23.86,70.35,1
10.27,19.22,52.78,1
25.27,16.56,61.46,0
25.25,16.57,77.29,0
15.13,27.05,72.78,1
32.1,26.83,43.71,0
32.81,24.51,43.09,0
23.56,28.58,71.54,1
42.09,28.12,46.45,0
22.66,18.61,87.38,0
30.9,18.62,71.24,0
41.64,28.57,62.03,0
34.9,17.49,48.02,0
17.86,16.98,56.76,1
29.21,25.56,54.41,0
25.02,19.81,73.22,0
22.5,19.82,45.18,1
11.29,30.82,55.78,1
25.29,23.79,56.95,0
12.8,21.13,61.31,1
43.35,27.15,41.74,0
23.93,19.99,76.78,0
25.82,23.9,74.1,0
17.85,30.84,64.7,1
12.58,27.85,74.01,1
39.61,27.7,46.26,0
11.59,26.54,78.35,1
15.53,24.29,47.18,1
14.93,33.91,60.91,1
43.08,34.33,57.64,0
11.58,26.24,54.43,1
31.09,15.81,75.68,0
27.76,24.8,63.74,0
17.96,24.61,76.06,1
27.56,24.43,76.37,0
26.95,20.58,87.07,0
23.29,31.37,80.23,1
31.55,19.85,66.55,0
32.77,20.74,42.96,0
40.69,26.36,89.15,0
37.68,30.15,82.81,0
36.38,21.04,40.57,0
31.51,17.67,77.39,0
28.49,33.34,81.44,1
14.62,26.28,73.64,1
11.11,30.38,88.92,1
16.25,25.58,51.13,1
38.33,30.32,40.78,0
27.64,31.32,55.95,1
27.35,33.83,79.29,1
24.44,25.6,52.75,0
35.35,24.59,56.65,0
21.26,24.33,55.42,0
19.13,26.58,47.62,1
35.65,17.8,49.2,0
27.7,27.36,70.83,1
42.13,19.82,52.62,0
